	pair_id	label	articles	query	filename	model_predictions	selected_shots
0	H18-1-1	Y	"Article 572
Even if the seller makes a special agreement to the effect that the seller does not warrant in the case prescribed in the main clause of Article 562, paragraph (1) or Article 565, the seller may not be released from that responsibility with respect to any fact that the seller knew but did not disclose, and with respect to any right that the seller personally created for or assigned to a third party."	A special provision that releases warranty can be made, but in that situation, when there are rights that the seller establishes on his/her own for a third party, the seller is not released of warranty.	riteval_H18_en.xml	1	-1
1	H18-1-2	N	"Article 565
The provisions of the preceding three Articles apply mutatis mutandis if the right transferred by the seller to the buyer does not conform to the terms of the contract (including the case in which the seller fails to transfer part of a right that belongs to another person).
Article 566
If the subject matter delivered by the seller to the buyer does not conform to the terms of the contract with respect to the kind or quality, and the buyer fails to notify the seller of the non-conformity within one year from the time when the buyer becomes aware of it, the buyer may not demand cure of the non-conformity of performance, demand a reduction of the price, claim compensation for loss or damage, or cancel the contract, on the grounds of the non-conformity;provided, however, that this does not apply if the seller knew or did not know due to gross negligence the non-conformity at the time of the delivery."	There is a limitation period on pursuance of warranty if there is restriction due to superficies on the subject matter, but there is no restriction on pursuance of warranty if the seller's rights were revoked due to execution of the mortgage.	riteval_H18_en.xml	0	-1
2	H18-1-3	N	"Article 568
(1) The successful bidder at an auction based on the provisions of the Civil Execution Act and other laws (hereinafter referred to as an ""auction"" in this Article) may cancel the contract or demand a reduction of the price against the obligor pursuant to the provisions of Articles 541 and 542 and the provisions of Article 563
(including as applied mutatis mutandis pursuant to Article 565).
(2) In the cases referred to in the preceding paragraph, if the obligor is insolvent, the successful bidder may demand total or partial reimbursement of the proceeds against the obligees that received the distribution of the proceeds.
(3) In the cases set forth in the preceding two paragraphs, if obligors knew of the absence of the object or right and did not disclose the same, or if obligees knew of the absence but demanded an auction, the successful bidder may claim compensation for loss or damage against those persons.
(4) The provisions of the preceding three paragraphs do not apply to the non-conformity with respect to the kind or quality of the subject matter of an auction."	A compulsory auction is also a sale, so warranty is imposed the same as for an ordinary sale.	riteval_H18_en.xml	0	-1
3	H18-2-1	Y	"Article 697
(1) A person that has begun to manage a business for another person without being obligated to do so (hereinafter in this Chapter referred to as a ""manager"") must manage that business, in accordance with the nature of the business, in the way that best suits the interests of the principal (hereinafter referred to as ""benevolent intervention in another's business"").
(2) A manager must engage in benevolent intervention in another's business in accordance with the intentions of the principal if the manager knows, or is able to conjecture that intention."	In cases where a person plans to prevent crime in their own house by fixing the fence of a neighboring house, that person is found as having intent towards the other person.	riteval_H18_en.xml	0	-1
4	H18-2-2	Y	"Article 698
If a manager engages in benevolent intervention in another's business in order to allow a principal to escape imminent danger to the principal's person, reputation, or property, the manager is not liable to compensate for damage resulting from this unless the manager has acted in bad faith or with gross negligence."	In cases where an individual rescues another person from getting hit by a car by pushing that person out of the way, causing the person's luxury kimono to get dirty, the rescuer does not have to compensate damages for the kimono.	riteval_H18_en.xml	1	-1
5	H18-2-3	N	"Article 698
If a manager engages in benevolent intervention in another's business in order to allow a principal to escape imminent danger to the principal's person, reputation, or property, the manager is not liable to compensate for damage resulting from this unless the manager has acted in bad faith or with gross negligence."	A manager must engage in management exercising care identical to that he/she exercises for his/her own property.	riteval_H18_en.xml	0	-1
6	H18-2-4	Y	"Article 702
(1) If a manager has incurred beneficial expenses for a principal, the manager may claim reimbursement of those costs from the principal.
(2) The provisions of Article 650, paragraph (2) apply mutatis mutandis if a manager has incurred beneficial obligations on behalf of the principal.
(3) If a manager has engaged in the benevolent intervention in another's business against the will of the principal, the provisions of the preceding two paragraphs apply mutatis mutandis, solely to the extent currently enriched."	In cases where a person repairs the fence of a neighboring house after it collapsed due to a typhoon, but the neighbor had intended to replace the fence with a concrete-block wall in the near future, if a separate typhoon causes the repaired sections to collapse the following week, reimbursement of repair fees can no longer be demanded.	riteval_H18_en.xml	0	-1
7	H18-2-5	N	"Article 697
(1) A person that has begun to manage a business for another person without being obligated to do so (hereinafter in this Chapter referred to as a ""manager"") must manage that business, in accordance with the nature of the business, in the way that best suits the interests of the principal (hereinafter referred to as ""benevolent intervention in another's business"").
(2) A manager must engage in benevolent intervention in another's business in accordance with the intentions of the principal if the manager knows, or is able to conjecture that intention."	Even in cases when a parent, based on the authority of parents determined under the law, performs the business of the child as a statutory agent, Management of Business is established.	riteval_H18_en.xml	0	-1
8	H18-3-2	Y	"Article 715
(1) A person that employs another person for a business undertaking is liable to compensate for damage inflicted on a third party by that person's employees with respect to the execution of that business;provided, however, that this does not apply if the employer exercised reasonable care in appointing the employee or in supervising the business, or if the damage could not have been avoided even if the employer had exercised reasonable care.
(2) A person that supervises a business on behalf of the employer also has the liability referred to in the preceding paragraph.
(3) The provisions of the preceding two paragraphs do not preclude the employer or supervisor from exercising their right to reimbursement against the employee."	The employer is released from his/her liability in cases when proof is provided that the employer made proper care regarding the appointment and supervision of the employee.	riteval_H18_en.xml	1	-1
9	H18-3-4	Y	"Article 715
(1) A person that employs another person for a business undertaking is liable to compensate for damage inflicted on a third party by that person's employees with respect to the execution of that business;provided, however, that this does not apply if the employer exercised reasonable care in appointing the employee or in supervising the business, or if the damage could not have been avoided even if the employer had exercised reasonable care.
(2) A person that supervises a business on behalf of the employer also has the liability referred to in the preceding paragraph.
(3) The provisions of the preceding two paragraphs do not preclude the employer or supervisor from exercising their right to reimbursement against the employee."	Even in cases when the victim has proven that authority of supervision has been granted to the agent supervisor from the employerprior to the act of injury of the employee, if proof is provided that the agent supervisor exercised reasonable care to the appointment and supervisionof the employee, the agent supervisor is released from liability.	riteval_H18_en.xml	1	-1
